start,end,N,SS,ZngE,FerL,bsfs,FulD,TajD,FayH,btree,Colless,path,iColless,ibtree
0,100001.0,50,319,1.0241422923732515,-1.772825997146236,-4.305233776641294,0.18993462101919556,-1.0273890240766916,-0.2830432412999512,-2.2063694881544538,0.1751959930313589,3030000,0.2298894557823129,-2.3700617687815977
0,100001.0,50,352,0.7263098404865526,-1.373682585961305,-4.588442138864024,2.0914932785676283,-0.9261365782014616,-0.2280483274074227,-2.2164440492948745,0.21154391243676932,3030001,0.2209951053592169,-2.404213670011629
0,100001.0,50,347,1.1467564995988138,-1.938225392036784,-4.5046132171860895,1.827748468182044,-1.0702178621089,-0.3053011412547885,-2.0979453280458,0.23108600583090386,3030002,0.3205370858020628,-2.7553128388208057
0,100001.0,50,321,0.7974657434438593,-1.221911574815161,-2.38126778940714,0.26039806926829273,-0.5302064578406396,-0.1826138344576599,-1.2416217785993349,0.14801384839650142,3030003,0.21480331262939964,-1.90574785016804
0,100001.0,50,370,0.503006133021157,-1.0273045674924477,-3.923666729935332,2.110408537553017,-0.7702743486107346,-0.17584297011279126,-1.3884018347274916,0.17866709183673496,3030004,0.22620298119247698,-2.251431865262956
0,100001.0,50,401,0.1118693865259914,-0.5047636226722036,-1.8123114516368908,0.7338203346433511,-0.6403402451378443,-0.10459269229114193,-1.6910603414684149,0.2646430596047943,3030005,0.233339632149156,-2.2261373386994983
0,100001.0,50,203,-0.4758427846170938,-0.055888984892297,-3.444443530509192,1.7312167546247237,-1.0272727528569023,-0.07901640571966526,-1.5270823367164568,0.22355804023737144,3030006,0.20838239141810572,-2.2026196156085756
0,100001.0,50,326,0.1216255303124954,-0.5042956100201924,-2.3629102173156658,1.5666567963447364,-0.6217817336882383,-0.10354139005753396,-1.1215173222552062,0.1495132535772929,3030007,0.19786605118237766,-1.7785876677574133
0,100001.0,50,334,0.7879413128686736,-1.6090129674367104,-4.388101241868259,1.317862105886157,-1.2070657881310771,-0.2758962283428833,-1.9253559579474595,0.2489187728071359,3030008,0.2898482469911041,-2.7578603486133333
0,100001.0,50,391,1.0310240506725177,-1.9935016612892495,-4.741801320191535,0.685168091060942,-1.3877708401354003,-0.3334824476837919,-2.64617898136823,0.2754333371766787,3030009,0.2750707024382787,-2.4742302767419417
0,100001.0,50,252,1.1342079873205142,-2.2005373334342475,-4.853029318826269,1.2872745141961377,-1.5442828923561118,-0.3718520418548044,-2.9174252956201734,0.3342479849082489,3030010,0.2702461937155816,-2.4393312130447264
